station_id,station_type,lat,lon,capacity,timestamp,bikes_available,docks_available
1,central,41.3763,2.16487,32,2026-03-01 00:00:00,20,12
1,central,41.3763,2.16487,32,2026-03-01 00:15:00,17,15
1,central,41.3763,2.16487,32,2026-03-01 00:30:00,21,11
1,central,41.3763,2.16487,32,2026-03-01 00:45:00,21,11
1,central,41.3763,2.16487,32,2026-03-01 01:00:00,14,18
1,central,41.3763,2.16487,32,2026-03-01 01:15:00,15,17
1,central,41.3763,2.16487,32,2026-03-01 01:30:00,18,14
1,central,41.3763,2.16487,32,2026-03-01 01:45:00,17,15
1,central,41.3763,2.16487,32,2026-03-01 02:00:00,17,15
1,central,41.3763,2.16487,32,2026-03-01 02:15:00,15,17
1,central,41.3763,2.16487,32,2026-03-01 02:30:00,19,13
1,central,41.3763,2.16487,32,2026-03-01 02:45:00,18,14
1,central,41.3763,2.16487,32,2026-03-01 03:00:00,16,16
1,central,41.3763,2.16487,32,2026-03-01 03:15:00,19,13
1,central,41.3763,2.16487,32,2026-03-01 03:30:00,17,15
1,central,41.3763,2.16487,32,2026-03-01 03:45:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 04:00:00,16,16
1,central,41.3763,2.16487,32,2026-03-01 04:15:00,12,20
1,central,41.3763,2.16487,32,2026-03-01 04:30:00,16,16
1,central,41.3763,2.16487,32,2026-03-01 04:45:00,14,18
1,central,41.3763,2.16487,32,2026-03-01 05:00:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 05:15:00,11,21
1,central,41.3763,2.16487,32,2026-03-01 05:30:00,16,16
1,central,41.3763,2.16487,32,2026-03-01 05:45:00,12,20
1,central,41.3763,2.16487,32,2026-03-01 06:00:00,11,21
1,central,41.3763,2.16487,32,2026-03-01 06:15:00,11,21
1,central,41.3763,2.16487,32,2026-03-01 06:30:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 06:45:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 07:00:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 07:15:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 07:30:00,17,15
1,central,41.3763,2.16487,32,2026-03-01 07:45:00,10,22
1,central,41.3763,2.16487,32,2026-03-01 08:00:00,10,22
1,central,41.3763,2.16487,32,2026-03-01 08:15:00,9,23
1,central,41.3763,2.16487,32,2026-03-01 08:30:00,13,19
1,central,41.3763,2.16487,32,2026-03-01 08:45:00,14,18
